Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0805,2,0.1uF,
C2,0805,1,10uF,
D1,1206,1,LED,
D2,DIO_UCLAMP1071P.TNT,1,UCLAMP1071P.TNT,
D3,SOT-23-3_DBZ_TEX,1,ESD2CAN36DBZRQ1,
"F1, F2",1812,2,1.1A,
J1,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,1,PWR_Input,
"J10, J7, J8, J9",JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,4,CAN+PWR,
J2,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,1,PWR OUT,
J3,JST_VH_B2P-VH-FB-B_1x02_P3.96mm_Vertical,1,BUS_PWR,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SWITCH,
"J5, J6",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,2,CAN,
"R1, R2, R3, R4",0805,4,1M,
R5,0805,1,10kR,
R6,0805,1,120R,
R7,0805,1,402R,
U3,SOT230P700X180-4N,1,LM2937IMP-8.0,
U4,DBV5,1,TS12A4514DBVR,
